Order ID,Order Date,Category,Sub-Category,State,Region,Sales,Quantity,Discount,Profit
CA-1064,2024-10-26,Technology,Phone,California,South,843.23,7,0.3,-81.44
CA-1065,2024-10-02,Office Supplies,Paper,Illinois,West,1886.63,7,0.3,-95.64
CA-1066,2024-12-08,Office Supplies,Paper,Florida,West,560.41,7,0.2,24.0
CA-1067,2024-02-12,Office Supplies,Paper,Florida,West,1961.83,7,0.0,131.56
CA-1068,2024-06-16,Office Supplies,Paper,New York,South,119.56,4,0.3,-1.25
CA-1069,2024-06-28,Office Supplies,Binder,Texas,East,519.5,1,0.0,-82.62
CA-1070,2024-11-14,Technology,Laptop,Texas,West,1513.38,4,0.0,415.89
CA-1071,2024-12-24,Furniture,Table,New York,Central,1345.53,4,0.3,110.31
CA-1072,2024-06-08,Furniture,Bookcase,California,East,1222.35,2,0.1,212.64
CA-1073,2024-02-08,Office Supplies,Pen,Illinois,West,1361.15,7,0.1,379.88
CA-1074,2024-10-16,Furniture,Bookcase,California,Central,1549.51,10,0.0,348.87
CA-1075,2024-08-03,Technology,Phone,Florida,East,1329.81,6,0.0,-220.11
CA-1076,2024-03-31,Office Supplies,Binder,Illinois,Central,1278.46,3,0.3,274.04
CA-1077,2024-06-14,Technology,Printer,Texas,East,1553.79,10,0.2,50.4
CA-1078,2024-06-21,Office Supplies,Binder,California,South,502.85,10,0.3,16.27
CA-1079,2024-05-23,Office Supplies,Paper,Illinois,Central,985.35,5,0.2,-22.26
CA-1080,2024-09-07,Technology,Laptop,Illinois,West,1042.92,4,0.3,-108.96
CA-1081,2024-05-30,Technology,Phone,Texas,South,1298.89,1,0.0,58.98
CA-1082,2024-08-05,Technology,Laptop,Illinois,Central,626.29,8,0.2,56.85
CA-1083,2024-04-08,Office Supplies,Pen,New York,East,918.42,4,0.0,-42.88
CA-1084,2024-09-04,Technology,Printer,New York,Central,1902.74,4,0.1,276.05
CA-1085,2024-12-28,Furniture,Chair,Illinois,West,606.57,5,0.0,-11.86
CA-1086,2024-02-22,Office Supplies,Paper,California,Central,1949.1,3,0.3,149.46
CA-1087,2024-09-01,Office Supplies,Binder,California,East,892.13,1,0.2,-96.19
CA-1088,2024-03-17,Office Supplies,Binder,Illinois,Central,166.68,1,0.1,19.12
CA-1089,2024-09-24,Furniture,Chair,Florida,South,254.53,10,0.1,46.38
CA-1090,2024-11-08,Office Supplies,Binder,California,West,1723.13,5,0.0,508.35
CA-1091,2024-10-09,Technology,Laptop,California,West,544.0,4,0.1,-86.72
CA-1092,2024-04-28,Furniture,Table,New York,Central,912.0,5,0.0,88.38
CA-1093,2024-08-05,Technology,Phone,California,West,160.94,5,0.1,-13.4
CA-1094,2024-03-25,Technology,Laptop,New York,Central,1818.65,2,0.0,387.95
CA-1095,2024-09-13,Office Supplies,Paper,Illinois,South,948.02,7,0.2,-45.46
CA-1096,2024-01-14,Office Supplies,Paper,California,West,1204.11,6,0.2,294.66
CA-1097,2024-03-30,Technology,Printer,Florida,South,1182.5,5,0.0,-224.23
CA-1098,2024-08-28,Office Supplies,Paper,New York,South,1993.95,8,0.0,35.78
CA-1099,2024-12-21,Office Supplies,Binder,Florida,Central,1346.86,6,0.3,308.25
CA-1100,2024-06-10,Technology,Phone,New York,Central,1630.86,8,0.0,122.39
